Question;Answer;Incorrect1;Incorrect2;Incorrect3
Cada cosa...; a su tiempo.; con su tema.; su librillo.; a su olivo.
Cada loco...; con su tema.; su librillo.; a su olivo.; tiene dos caras.
Cada maestrillo tiene...; su librillo.; a su olivo.; tiene dos caras.; con su pareja.
Cada mochuelo...; a su olivo.; tiene dos caras.; con su pareja.; aguante su vela.
Cada moneda...; tiene dos caras.; con su pareja.; aguante su vela.; esclava de sus palabras.
Cada oveja...; con su pareja.; aguante su vela.; esclava de sus palabras.; como le va en ella.
Cada palo...; aguante su vela.; esclava de sus palabras.; como le va en ella.; y Dios en la de todos.
Cada persona es dueña de su silencio y...; esclava de sus palabras.; como le va en ella.; y Dios en la de todos.; su cruz.
Cada uno cuenta de la feria...; como le va en ella.; y Dios en la de todos.; su cruz.; dónde le aprieta el zapato.
Cada uno en su casa...; y Dios en la de todos.; su cruz.; dónde le aprieta el zapato.; sus obras.
Cada uno lleva...; su cruz.; dónde le aprieta el zapato.; sus obras.; lo que se merece.
Cada uno sabe...; dónde le aprieta el zapato.; sus obras.; lo que se merece.; que algo queda.
Cada uno se conoce por...; sus obras.; lo que se merece.; que algo queda.; mala es de guardar.
Cada uno tiene...; lo que se merece.; que algo queda.; mala es de guardar.; y amansarás.
Calumnia...; que algo queda.; mala es de guardar.; y amansarás.; parió la abuela.
Casa con dos puertas...; mala es de guardar.; y amansarás.; parió la abuela.; se muere.
Casarás...; y amansarás.; parió la abuela.; se muere.; recogerás.
Como éramos pocos...; parió la abuela.; se muere.; recogerás.; nace el cariño.
Como se vive...; se muere.; recogerás.; nace el cariño.; mató mi padre un cochino.
Como siembres...; recogerás.; nace el cariño.; mató mi padre un cochino.; basta.
Con el roce...; nace el cariño.; mató mi padre un cochino.; basta.; a todas partes.
Con la ayuda del vecino...; mató mi padre un cochino.; basta.; a todas partes.; las memorias.
Con la intención...; basta.; a todas partes.; las memorias.; se anda el camino.
Con la verdad se llega...; a todas partes.; las memorias.; se anda el camino.; y para mí no tengo.
Con las glorias se olvidan...; las memorias.; se anda el camino.; y para mí no tengo.; pan y cebolla.
Con pan y vino...; se anda el camino.; y para mí no tengo.; pan y cebolla.; la virtud de no dar.
Consejos vendo...; y para mí no tengo.; pan y cebolla.; la virtud de no dar.; no hay arte alguna.
Contigo...; pan y cebolla.; la virtud de no dar.; no hay arte alguna.; no tiene reposo.
Contra el vicio de pedir...; la virtud de no dar.; no hay arte alguna.; no tiene reposo.; todo es empezar.
Contra la fortuna...; no hay arte alguna.; no tiene reposo.; todo es empezar.; todos son de su condición.
Corazón codicioso...; no tiene reposo.; todo es empezar.; todos son de su condición.; échate a dormir.
Coser y cantar...; todo es empezar.; todos son de su condición.; échate a dormir.; te sacarán los ojos.
Cree el ladrón que...; todos son de su condición.; échate a dormir.; te sacarán los ojos.; mata moscas con el rabo.
Cría fama y...; échate a dormir.; te sacarán los ojos.; mata moscas con el rabo.; los ratones bailan.
Cría cuervos y...; te sacarán los ojos.; mata moscas con el rabo.; los ratones bailan.; hace un frío del carajo.
Cuando el diablo no tiene nada que hacer...; mata moscas con el rabo.; los ratones bailan.; hace un frío del carajo.; agua lleva.
Cuando el gato no está...; los ratones bailan.; hace un frío del carajo.; agua lleva.; pon las tuyas a remojar.
Cuando el grajo vuela bajo...; hace un frío del carajo.; agua lleva.; pon las tuyas a remojar.; salta la liebre.
Cuando el río suena...; agua lleva.; pon las tuyas a remojar.; salta la liebre.; otra se abre.
Cuando las barbas del vecino veas pelar...; pon las tuyas a remojar.; salta la liebre.; otra se abre.; más se quiere.
Cuando menos se piensa...; salta la liebre.; otra se abre.; más se quiere.; más pellejo.
Cuando una puerta se cierra...; otra se abre.; más se quiere.; más pellejo.; al asno.
Cuanto más se tiene...; más se quiere.; más pellejo.; al asno.; culo deseo.
Cuanto más viejo...; más pellejo.; al asno.; culo deseo.; no tiene muelas.
Cuidados ajenos mataron...; al asno.; culo deseo.; no tiene muelas.; y dime tonto.
Culo veo...; culo deseo.; no tiene muelas.; y dime tonto.; y llegarás a palacio.
Da Dios almendras al que...; no tiene muelas.; y dime tonto.; y llegarás a palacio.; vienen estos lodos.
Dame pan...; y dime tonto.; y llegarás a palacio.; vienen estos lodos.; buen vinagre.
Date prisa despacio...; y llegarás a palacio.; vienen estos lodos.; buen vinagre.; el ser rabilargo.
De aquellos polvos...; vienen estos lodos.; buen vinagre.; el ser rabilargo.; el infierno lleno.
De buen vino...; buen vinagre.; el ser rabilargo.; el infierno lleno.; no se puede sacar.
De casta le viene al galgo...; el ser rabilargo.; el infierno lleno.; no se puede sacar.; quien de tu casa te echará.
De desagradecidos está...; el infierno lleno.; no se puede sacar.; quien de tu casa te echará.; las sepulturas llenas.
De donde no hay...; no se puede sacar.; quien de tu casa te echará.; las sepulturas llenas.; no pasa dinero.
De la calle vendrá...; quien de tu casa te echará.; las sepulturas llenas.; no pasa dinero.; se vive.
De grandes cenas están...; las sepulturas llenas.; no pasa dinero.; se vive.; la luz.
De herrero a herrero...; no pasa dinero.; se vive.; la luz.; llena la cesta.
De ilusión también...; se vive.; la luz.; llena la cesta.; ni la mitad te creas.
De la discusión nace...; la luz.; llena la cesta.; ni la mitad te creas.; se cría.
De lo que no cuesta...; llena la cesta.; ni la mitad te creas.; se cría.; que de los enemigos me guardo yo.
De lo que no veas...; ni la mitad te creas.; se cría.; que de los enemigos me guardo yo.; no te mojes la barriga.
De lo que se come...; se cría.; que de los enemigos me guardo yo.; no te mojes la barriga.; los avisados.
De los amigos me guarde Dios...; que de los enemigos me guardo yo.; no te mojes la barriga.; los avisados.; pero de mi dinero no.
De los cuarenta para arriba...; no te mojes la barriga.; los avisados.; pero de mi dinero no.; son pardos.
De los escarmentados nacen...; los avisados.; pero de mi dinero no.; son pardos.; al río.
De mí te reirás...; pero de mi dinero no.; son pardos.; al río.; tal vino.
De noche todos los gatos...; son pardos.; al río.; tal vino.; tal astilla.
De perdidos...; al río.; tal vino.; tal astilla.; la viña del Señor.
De tal cepa...; tal vino.; tal astilla.; la viña del Señor.; mi casa llena.
De tal palo...; tal astilla.; la viña del Señor.; mi casa llena.; una rosa.
De todo hay en...; la viña del Señor.; mi casa llena.; una rosa.; que de la brava me libraré yo.
De trigo y avena...; mi casa llena.; una rosa.; que de la brava me libraré yo.; un paso.
De una cebolla no nace...; una rosa.; que de la brava me libraré yo.; un paso.; todos hacen leña.
Del agua mansa líbreme Dios...; que de la brava me libraré yo.; un paso.; todos hacen leña.; un buen trecho.
Del amor al odio hay...; un paso.; todos hacen leña.; un buen trecho.; cuanto más lejos más seguro.
Del árbol caído...; todos hacen leña.; un buen trecho.; cuanto más lejos más seguro.; el cordero.
Del dicho al hecho hay...; un buen trecho.; cuanto más lejos más seguro.; el cordero.; el consejo.
Del jefe y del mulo...; cuanto más lejos más seguro.; el cordero.; el consejo.; todos calvos.
Del mar el mero y de la tierra...; el cordero.; el consejo.; todos calvos.; amigos.
Del viejo...; el consejo.; todos calvos.; amigos.; menos sentida.
Dentro de cien años...; todos calvos.; amigos.; menos sentida.; afortunado en amores.
Desdichas y caminos hacen...; amigos.; menos sentida.; afortunado en amores.; vestir otro.
Desgracia compartida...; menos sentida.; afortunado en amores.; vestir otro.; desnudo me hallo: ni pierdo ni gano.
Desgraciado en el juego...; afortunado en amores.; vestir otro.; desnudo me hallo: ni pierdo ni gano.; cada uno dice su parecer.
Desnudar un santo para...; vestir otro.; desnudo me hallo: ni pierdo ni gano.; cada uno dice su parecer.; viene la calma.
Desnudo nací...; desnudo me hallo: ni pierdo ni gano.; cada uno dice su parecer.; viene la calma.; el diablo.
Después de beber...; cada uno dice su parecer.; viene la calma.; el diablo.; mengua la noche y crece el día.
Después de la tempestad...; viene la calma.; el diablo.; mengua la noche y crece el día.; vísperas de nada.
Detrás de la cruz está...; el diablo.; mengua la noche y crece el día.; vísperas de nada.; hecho.
Día de Santa Lucía...; mengua la noche y crece el día.; vísperas de nada.; hecho.; amistades.
Días de mucho...; vísperas de nada.; hecho.; amistades.; quién eres.
Dicho y...; hecho.; amistades.; quién eres.; de qué careces.
Diciendo las verdades se pierden...; amistades.; quién eres.; de qué careces.; dinero.
Dime con quién andas y te diré...; quién eres.; de qué careces.; dinero.; no ahoga.
Dime de qué presumes y te diré...; de qué careces.; dinero.; no ahoga.; ellos se juntan.
Dinero llama...; dinero.; no ahoga.; ellos se juntan.; vencerás.
Dios aprieta pero...; no ahoga.; ellos se juntan.; vencerás.; digo Diego.
Dios los cría y...; ellos se juntan.; vencerás.; digo Diego.; haz lo que vieres.
Divide y...; vencerás.; digo Diego.; haz lo que vieres.; da asco.
Donde dije digo...; digo Diego.; haz lo que vieres.; da asco.; no manda marinero.
Donde fueres...; haz lo que vieres.; da asco.; no manda marinero.; las toman.
Donde hay confianza...; da asco.; no manda marinero.; las toman.; la cabeza tiene poco que decir.
Donde hay patrón...; no manda marinero.; las toman.; la cabeza tiene poco que decir.; salta la liebre.
Donde las dan...; las toman.; la cabeza tiene poco que decir.; salta la liebre.; donde va la gente.
Donde manda el corazón...; la cabeza tiene poco que decir.; salta la liebre.; donde va la gente.; tres es multitud.
Donde menos se piensa...; salta la liebre.; donde va la gente.; tres es multitud.; si uno no quiere.
¿Dónde va Vicente?...; donde va la gente.; tres es multitud.; si uno no quiere.; se vuelven de la misma condición.
Dos es compañía...; tres es multitud.; si uno no quiere.; se vuelven de la misma condición.; ciego.
Dos no riñen...; si uno no quiere.; se vuelven de la misma condición.; ciego.; más quiere.
Dos que duermen en un colchón...; se vuelven de la misma condición.; ciego.; más quiere.; volando.
El amor es...; ciego.; más quiere.; volando.; por lo sano.
El avaro cuanto más tiene...; más quiere.; volando.; por lo sano.; en el arca se vende.
El bien viene andando el mal...; volando.; por lo sano.; en el arca se vende.; en frasco pequeño.
El buen cirujano corta...; por lo sano.; en el arca se vende.; en frasco pequeño.; bien se lame.
El buen paño...; en el arca se vende.; en frasco pequeño.; bien se lame.; casa quiere.
El buen perfume se vende...; en frasco pequeño.; bien se lame.; casa quiere.; todo es empezar.
El buey suelto...; bien se lame.; casa quiere.; todo es empezar.; caballero.
El casado...; casa quiere.; todo es empezar.; caballero.; los medios.
El comer y el rascar...; todo es empezar.; caballero.; los medios.; es el más apetecido.
El dinero hace...; caballero.; los medios.; es el más apetecido.; del agua fría huye.
El fin justifica...; los medios.; es el más apetecido.; del agua fría huye.; al monje.
El fruto prohibido...; es el más apetecido.; del agua fría huye.; al monje.; el ingenio.
El gato escaldado...; del agua fría huye.; al monje.; el ingenio.; muy mala consejera.
El hábito no hace...; al monje.; el ingenio.; muy mala consejera.; dos veces en la misma piedra.
El hambre aguza...; el ingenio.; muy mala consejera.; dos veces en la misma piedra.; y Dios dispone.
El hambre es...; muy mala consejera.; dos veces en la misma piedra.; y Dios dispone.; cuanto más feo más hermoso.
El hombre es el único animal que tropieza...; dos veces en la misma piedra.; y Dios dispone.; cuanto más feo más hermoso.; a los tres días hiede.
El hombre propone...; y Dios dispone.; cuanto más feo más hermoso.; a los tres días hiede.; no es terminado.
El hombre y el oso...; cuanto más feo más hermoso.; a los tres días hiede.; no es terminado.; sobre el difunto.
El huésped y el pez...; a los tres días hiede.; no es terminado.; sobre el difunto.; no es de creer.
El invierno no es pasado mientras abril...; no es terminado.; sobre el difunto.; no es de creer.; echa un borrón.
El llanto...; sobre el difunto.; no es de creer.; echa un borrón.; memorioso.
El lloro de la mujer...; no es de creer.; echa un borrón.; memorioso.; al bollo.
El mejor escribano...; echa un borrón.; memorioso.; al bollo.; un pañuelo.
El mentiroso ha de ser...; memorioso.; al bollo.; un pañuelo.; que ayune.
El muerto al hoyo y el vivo...; al bollo.; un pañuelo.; que ayune.; engorda el caballo.
El mundo es...; un pañuelo.; que ayune.; engorda el caballo.; ni come ni deja comer al amo.
El ocio no quede impune quien no trabaje...; que ayune.; engorda el caballo.; ni come ni deja comer al amo.; al chico.
El ojo del amo...; engorda el caballo.; ni come ni deja comer al amo.; al chico.; no se hace.
El perro del hortelano...; ni come ni deja comer al amo.; al chico.; no se hace.; buena sombra le cobija.
El pez grande se come...; al chico.; no se hace.; buena sombra le cobija.; a hierro muere.
El poeta nace...; no se hace.; buena sombra le cobija.; a hierro muere.; en la cara le cae.
El que a buen árbol se arrima...; buena sombra le cobija.; a hierro muere.; en la cara le cae.; algo le cuesta.
El que a hierro mata...; a hierro muere.; en la cara le cae.; algo le cuesta.; no es traidor.
El que al cielo escupe...; en la cara le cae.; algo le cuesta.; no es traidor.; halla.
El que algo quiere...; algo le cuesta.; no es traidor.; halla.; otorga.
El que avisa...; no es traidor.; halla.; otorga.; desespera.
El que busca...; halla.; otorga.; desespera.; que tire la primera piedra.
El que calla...; otorga.; desespera.; que tire la primera piedra.; perdió su silla.
El que espera...; desespera.; que tire la primera piedra.; perdió su silla.; siempre tiene.
El que esté libre de pecado...; que tire la primera piedra.; perdió su silla.; siempre tiene.; la consigue.
El que fue a Sevilla...; perdió su silla.; siempre tiene.; la consigue.; pronto para.
El que guarda...; siempre tiene.; la consigue.; pronto para.; mucho yerra.
El que la sigue...; la consigue.; pronto para.; mucho yerra.; poco da.
El que mucho corre...; pronto para.; mucho yerra.; poco da.; no mama.
El que mucho habla...; mucho yerra.; poco da.; no mama.; que no vaya a la era.
El que mucho ofrece...; poco da.; no mama.; que no vaya a la era.; es porque no quiere.
El que no llora...; no mama.; que no vaya a la era.; es porque no quiere.; no come.
El que no quiera polvo...; que no vaya a la era.; es porque no quiere.; no come.; se queda con la mejor parte.
El que no se consuela...; es porque no quiere.; no come.; se queda con la mejor parte.; pega dos veces.
El que no trabaja...; no come.; se queda con la mejor parte.; pega dos veces.; que se moje el culo.
El que parte y reparte...; se queda con la mejor parte.; pega dos veces.; que se moje el culo.; ríe mejor.
El que pega primero...; pega dos veces.; que se moje el culo.; ríe mejor.; paga.
El que quiera peces...; que se moje el culo.; ríe mejor.; paga.; se acusa.
El que ríe el último...; ríe mejor.; paga.; se acusa.; ajos come.
El que rompe...; paga.; se acusa.; ajos come.; cosecha tempestades.
El que se excusa...; se acusa.; ajos come.; cosecha tempestades.; se equivoca.
El que se pica...; ajos come.; cosecha tempestades.; se equivoca.; se bautiza.
El que siembra viento...; cosecha tempestades.; se equivoca.; se bautiza.; ni tiene tío ni tiene ná.
El que tiene boca...; se equivoca.; se bautiza.; ni tiene tío ni tiene ná.; retuvo.
El que tiene padrino...; se bautiza.; ni tiene tío ni tiene ná.; retuvo.; que arree.
El que tiene un tío en Alcalá...; ni tiene tío ni tiene ná.; retuvo.; que arree.; sirve a muchos señores.
El que tuvo...; retuvo.; que arree.; sirve a muchos señores.; lugar.
El que venga detrás...; que arree.; sirve a muchos señores.; lugar.; el ignorante siempre quiere enseñar.
El que vive de favores...; sirve a muchos señores.; lugar.; el ignorante siempre quiere enseñar.; oro.
El saber no ocupa...; lugar.; el ignorante siempre quiere enseñar.; oro.; lo dirá.
El sabio siempre quiere aprender...; el ignorante siempre quiere enseñar.; oro.; lo dirá.; no se recupera.
El tiempo es...; oro.; lo dirá.; no se recupera.; en su sitio.
El tiempo...; lo dirá.; no se recupera.; en su sitio.; lo cura.
El tiempo perdido...; no se recupera.; en su sitio.; lo cura.; no entran moscas.
El tiempo pone a cada uno...; en su sitio.; lo cura.; no entran moscas.; cuchillo de palo.
El tiempo todo...; lo cura.; no entran moscas.; cuchillo de palo.; dura poco la alegría.
En boca cerrada...; no entran moscas.; cuchillo de palo.; dura poco la alegría.; el tuerto es el rey.
En casa del herrero...; cuchillo de palo.; dura poco la alegría.; el tuerto es el rey.; la sombra el perro.
En casa del pobre...; dura poco la alegría.; el tuerto es el rey.; la sombra el perro.; todo vale.
En el país de los ciegos...; el tuerto es el rey.; la sombra el perro.; todo vale.; el peligro.
En febrero busca...; la sombra el perro.; todo vale.; el peligro.; el gusto.
En la guerra y en el amor...; todo vale.; el peligro.; el gusto.; ni te cases ni te embarques.
En la tardanza está...; el peligro.; el gusto.; ni te cases ni te embarques.; no hay amigos.
En la variedad está...; el gusto.; ni te cases ni te embarques.; no hay amigos.; cuecen habas.
En martes...; ni te cases ni te embarques.; no hay amigos.; cuecen habas.; y otra al diablo.
En tiempo de higos...; no hay amigos.; cuecen habas.; y otra al diablo.; lechuga.
En todas partes...; cuecen habas.; y otra al diablo.; lechuga.; un notario y dos testigos.
Encender una vela a Dios...; y otra al diablo.; lechuga.; un notario y dos testigos.; y ella sola se murió.
Entre col y col...; lechuga.; un notario y dos testigos.; y ella sola se murió.; el que no las haya.
Entre dos amigos...; un notario y dos testigos.; y ella sola se murió.; el que no las haya.; ser agradecidos.
Entre todos la mataron...; y ella sola se murió.; el que no las haya.; ser agradecidos.; el vaso.
Es buena noticia...; el que no las haya.; ser agradecidos.; el vaso.; que la enfermedad.
Es de bien nacidos...; ser agradecidos.; el vaso.; que la enfermedad.; barre bien.
Es la gota que desborda...; el vaso.; que la enfermedad.; barre bien.; hace buen caldo.
Es peor el remedio...; que la enfermedad.; barre bien.; hace buen caldo.; algo tiene en la garganta.
Escoba nueva...; barre bien.; hace buen caldo.; algo tiene en la garganta.; no caza ratones.
Gallina vieja...; hace buen caldo.; algo tiene en la garganta.; no caza ratones.; del agua fría huye.
Gallo que no canta...; algo tiene en la garganta.; no caza ratones.; del agua fría huye.; hasta la sepultura.
Gato con guantes...; no caza ratones.; del agua fría huye.; hasta la sepultura.; se llena la bota.
Gato escaldado...; del agua fría huye.; hasta la sepultura.; se llena la bota.; por ajeno que por bueno.
Genio y figura...; hasta la sepultura.; se llena la bota.; por ajeno que por bueno.; por la puerta asoma.
Gota a gota...; se llena la bota.; por ajeno que por bueno.; por la puerta asoma.; se entiende la gente.
Gusta lo ajeno más...; por ajeno que por bueno.; por la puerta asoma.; se entiende la gente.; mu.
Hablando del rey de Roma...; por la puerta asoma.; se entiende la gente.; mu.; aprendiendo.
Hablando...; se entiende la gente.; mu.; aprendiendo.; no es hambre pura.
Habló el buey y dijo...; mu.; aprendiendo.; no es hambre pura.; no te quites el sayo.
Haciendo y deshaciendo se va...; aprendiendo.; no es hambre pura.; no te quites el sayo.; todo es toro.
Hambre que espera hartura...; no es hambre pura.; no te quites el sayo.; todo es toro.; longanizas.
Hasta el cuarenta de mayo...; no te quites el sayo.; todo es toro.; longanizas.; y no mires a quien.
Hasta el rabo...; todo es toro.; longanizas.; y no mires a quien.; madre sin amor.
Hay más días que...; longanizas.; y no mires a quien.; madre sin amor.; vale por dos.
Haz bien...; y no mires a quien.; madre sin amor.; vale por dos.; mañana por mí.
Hijo sin dolor...; madre sin amor.; vale por dos.; mañana por mí.; caer en las brasas.
Hombre prevenido...; vale por dos.; mañana por mí.; caer en las brasas.; volver trasquilado.
Hoy por ti...; mañana por mí.; caer en las brasas.; volver trasquilado.; pájaro muerto.
Huir del fuego para...; caer en las brasas.; volver trasquilado.; pájaro muerto.; yo me lo guiso y yo me lo como.
Ir por lana y...; volver trasquilado.; pájaro muerto.; yo me lo guiso y yo me lo como.; casa perdida.
Jaula nueva...; pájaro muerto.; yo me lo guiso y yo me lo como.; casa perdida.; bella.
Juan Palomo...; yo me lo guiso y yo me lo como.; casa perdida.; bella.; olvido.
Juego y bebida...; casa perdida.; bella.; olvido.; el saco.
La arruga es...; bella.; olvido.; el saco.; tira al monte.
La ausencia causa...; olvido.; el saco.; tira al monte.; el espejo del alma.
La avaricia rompe...; el saco.; tira al monte.; el espejo del alma.; empieza por uno mismo.
La cabra siempre...; tira al monte.; el espejo del alma.; empieza por uno mismo.; por la cocina.
La cara es...; el espejo del alma.; empieza por uno mismo.; por la cocina.; ley.
La caridad bien entendida...; empieza por uno mismo.; por la cocina.; ley.; al gato.
La casa se arruina...; por la cocina.; ley.; al gato.; poco vinagre y bien aceitada.
La costumbre hace...; ley.; al gato.; poco vinagre y bien aceitada.; lo último que se pierde.
La curiosidad mató...; al gato.; poco vinagre y bien aceitada.; lo último que se pierde.; confirma la regla.
La ensalada...; poco vinagre y bien aceitada.; lo último que se pierde.; confirma la regla.; la madre de la ciencia.
La esperanza es...; lo último que se pierde.; confirma la regla.; la madre de la ciencia.; montañas.
La excepción...; confirma la regla.; la madre de la ciencia.; montañas.; más huevos pone que la mía.
La experiencia es...; la madre de la ciencia.; montañas.; más huevos pone que la mía.; poco dura.
La fe mueve...; montañas.; más huevos pone que la mía.; poco dura.; no excusa su cumplimiento.
La gallina de mi vecina...; más huevos pone que la mía.; poco dura.; no excusa su cumplimiento.; lo que vale.
La hermosura...; poco dura.; no excusa su cumplimiento.; lo que vale.; la prudencia.
La ignorancia de la ley...; no excusa su cumplimiento.; lo que vale.; la prudencia.; pero corta lo más grueso.
La intención es...; lo que vale.; la prudencia.; pero corta lo más grueso.; con sangre entra.
La juventud tiene la fuerza y la vejez...; la prudencia.; pero corta lo más grueso.; con sangre entra.; para mí lo ancho y para ti lo agudo.
La lengua no tiene hueso...; pero corta lo más grueso.; con sangre entra.; para mí lo ancho y para ti lo agudo.; a su compañía.
La letra...; con sangre entra.; para mí lo ancho y para ti lo agudo.; a su compañía.; la que queda por decir.
La ley del embudo...; para mí lo ancho y para ti lo agudo.; a su compañía.; la que queda por decir.; el apetito.
La manzana podrida pierde...; a su compañía.; la que queda por decir.; el apetito.; debe parecerlo.
La mejor palabra siempre es...; la que queda por decir.; el apetito.; debe parecerlo.; lo pueden todo.
La mejor salsa...; el apetito.; debe parecerlo.; lo pueden todo.; al hombre de tino.
La mujer del César además de ser honesta...; debe parecerlo.; lo pueden todo.; al hombre de tino.; las fieras.
La mujer y el oro...; lo pueden todo.; al hombre de tino.; las fieras.; calva.
La mujer y el vino sacan...; al hombre de tino.; las fieras.; calva.; y el silencio es oro.
La música amansa...; las fieras.; calva.; y el silencio es oro.; nunca torna.
La ocasión la pintan...; calva.; y el silencio es oro.; nunca torna.; la que más cacarea.
La palabra es plata...; y el silencio es oro.; nunca torna.; la que más cacarea.; todo lo alcanza.
La palabra que sale de la boca...; nunca torna.; la que más cacarea.; todo lo alcanza.; la sangre altera.
La peor gallina es...; la que más cacarea.; todo lo alcanza.; la sangre altera.; va por dentro.
La perseverancia...; todo lo alcanza.; la sangre altera.; va por dentro.; la ficción.
La primavera...; la sangre altera.; va por dentro.; la ficción.; la ira quebranta.
La procesión...; va por dentro.; la ficción.; la ira quebranta.; cuanto más lejos mejor.
La realidad supera...; la ficción.; la ira quebranta.; cuanto más lejos mejor.; la bonita la desea.
La respuesta mansa...; la ira quebranta.; cuanto más lejos mejor.; la bonita la desea.; echada.
